RecordID,AQI,PM10,PM2_5,NO2,SO2,O3,Temperature,Humidity,WindSpeed,RespiratoryCases,CardiovascularCases,HospitalAdmissions,HealthImpactScore,HealthImpactClass
1,187.2700594,295.8530392,13.03856044,6.639263013,66.16114965,54.62427998,5.150335038,84.42434365,6.137755447,7,5,1,97.24404109,0
2,475.3571532,246.2547028,9.984497133,16.31832608,90.4995226,169.6217275,1.54337829,46.85141478,4.521421554,10,2,0,100,0
3,365.9969709,84.44319074,23.11133977,96.31781102,17.87585035,9.006793603,1.169483417,17.80697722,11.15738359,13,3,0,100,0
4,299.3292421,21.02060872,14.27340278,81.23440258,48.32361562,93.16103261,21.92527629,99.47337306,15.30249962,8,8,1,100,0
5,78.00932022,16.98766721,152.1116231,121.2354612,90.86616698,241.7951384,9.217516717,24.90683687,14.53473338,9,0,1,95.18264321,0
6,77.99726017,36.11344485,97.11324046,87.76956194,32.26120614,136.9997141,-1.441781262,32.63590353,4.675127018,13,5,2,70.36149125,1
7,29.04180608,174.2305751,68.57841827,186.8153699,96.76641981,44.98239668,34.37859225,24.67930505,6.610047005,10,2,2,65.81994867,1
8,433.0880729,278.6290264,83.67378203,106.9479431,9.707749047,131.5660144,33.7074344,40.37315662,17.37664366,11,8,1,100,0
9,300.5575059,149.0230284,185.7893471,138.7452123,90.26711703,59.40987764,33.12314618,36.03521204,14.46487489,8,6,4,100,0
10,354.0362889,252.8836447,182.1503625,179.2970545,44.52121221,117.9574374,9.537247113,64.09920237,14.25387811,13,5,1,100,0
11,10.29224715,133.765986,143.135296,29.37437517,7.374416514,146.3500418,-7.150877324,99.6814013,5.378101527,9,7,4,63.12113326,1
12,484.9549261,212.5750637,176.9364755,45.94693082,87.95215926,104.8674338,-4.662899105,14.72581499,15.84008615,8,4,1,100,0
13,416.2213204,219.5618212,63.92960552,21.46373209,25.19402124,281.0906851,3.802403989,80.0598802,7.168355909,11,2,2,100,0
14,106.1695553,52.18911177,76.2218652,27.92767985,2.22501255,168.7590893,0.998500205,21.5192732,8.027810403,8,4,0,71.64276283,1
15,90.9124836,108.3648177,122.7424364,102.5167934,13.58071056,252.8678022,33.69928101,11.78515222,5.75122178,10,3,2,96.90368407,0
16,91.70225493,191.190647,124.7251895,64.23585179,65.91147419,228.2185641,39.31790902,67.47191381,2.427804941,13,3,2,100,0
17,152.1211215,21.20898246,96.3399676,84.63456791,97.78114891,198.3498928,30.83368312,88.5983706,8.40787126,13,11,1,98.25065401,0
18,262.3782158,108.4620563,80.13156969,196.4979664,11.14621396,149.0666245,26.49244514,25.8668656,0.338790038,8,2,0,100,0
19,215.9725093,160.4398399,197.2360623,31.34086956,46.19480481,0.652135134,19.431207,40.74524062,9.118204789,7,3,1,100,0
20,145.6145701,298.8673479,164.2247252,108.1624142,18.06365509,184.0402802,28.49541496,25.18751838,14.50012876,12,5,3,100,0
21,305.9264474,142.3600688,86.99603958,19.77423101,74.50365341,106.7872359,37.35166561,91.58568124,19.21490066,10,7,3,100,0
22,69.74693033,244.8170271,145.4584954,63.69926265,11.80588998,35.32865004,20.0672335,34.33243892,1.572262891,9,5,0,83.90859185,0
23,146.0723243,129.6201855,53.91233865,105.5051847,23.98417485,133.3878791,-2.269337799,50.02416023,5.625814084,14,0,2,92.48687487,0
24,183.1809216,238.9172168,20.03386525,189.3263492,19.64059676,220.6659967,-1.807084137,90.52671487,9.882621032,9,5,0,100,0
25,228.0349921,178.6244405,70.48620511,78.24564426,55.25197804,288.5033384,19.19314016,59.75822834,3.407758974,7,9,3,100,0
26,392.5879807,265.9786325,80.59456002,12.98133924,87.3184092,112.2314673,6.673426989,93.95648207,2.336570442,18,4,0,100,0
27,99.83689108,123.2827657,3.307424912,77.63228959,51.10902012,162.8169896,35.51236876,93.38053732,9.046362109,5,9,2,67.31327126,1
28,257.1172192,181.2913259,162.9584003,29.14823517,5.824345277,255.373315,20.58211669,51.54409179,11.61461058,8,4,2,100,0
29,296.2072844,189.0056042,71.83868048,45.99792266,56.33889306,100.199826,23.82463067,62.41443515,16.40415453,4,5,3,100,0
30,23.22520636,125.2148825,116.0836332,123.6181246,79.75209993,42.67717349,-9.708964495,30.72828463,19.95606844,9,8,3,62.81055641,1
31,303.772426,43.29361311,14.79263745,13.48477324,13.21561973,84.56454937,14.9424276,99.14822369,15.4854156,14,5,0,100,0
